Valor,TipoAluguel,Iptu,Area,Quartos,Banheiros,Vagas,Cidade,Endereco
"
6000
",mês,0,"
421
","
3
","
3
","
6
",florianopolis,"Rua Elesbão Pinto da Luz, Jardim Atlântico"
"
30000
",mês, 6500,"
800
","
6
","
7
","
4
",florianopolis,"Rua dos Peixes, Jurerê Internacional"
"
2000
",dia,0,"
320
","
4
","
5
","
2
",florianopolis,"Rua dos Pintados, Jurerê Internacional"
"
1400
",dia,0,"
300
","
4
","
3
","
2
",florianopolis,"Rua dos Corais, Jurerê Internacional"
"
2000
",mês, 34,"
115
","
2
","
3
","
1
",florianopolis,"Rodovia Francisco Germano da Costa, Vargem Pequena"
"
1800
",dia,0,"
400
","
6
","
5
","
2
",florianopolis,"Rua das Tabaronas, Jurerê Internacional"
"
3000
",dia,0,"
400
","
5
","
6
","
2
",florianopolis,"Rua das Tainhas, Jurerê Internacional"
"
1600
",mês, 25,"
100
","
3
","
2
","
3
",florianopolis,"Rua da Pedra, Tapera"
"
800
",dia,0,"
300
","
4
","
4
","
2
",florianopolis,"Rua das Pirapitingas, Jurerê"
"
1200
",dia,0,"
100
","
3
","
2
","
1
",florianopolis,"Avenida dos Salmões, Jurerê Internacional"
"
1000
",dia,0,"
280
","
3
","
1
","
2
",florianopolis,"Avenida dos Bonitos, Jurerê Internacional"
"
1000
",dia,0,"
320
","
5
","
2
","
2
",florianopolis,"Rua Francisco Gouveia, Jurerê"
"
2200
",mês,0,"
90
","
2
","
2
","
1
",florianopolis,"Rua Professor Emanoel Paulo Peluso, Campeche"
"
1600
",dia,0,"
320
","
4
","
2
","
2
",florianopolis,"Rua dos Lambari-Guaçu, Jurerê Internacional"
"
2000
",dia,0,"
300
","
5
","
7
","
2
",florianopolis,"Avenida das Lagostas, Jurerê Internacional"
"
1400
",dia,0,"
300
","
4
","
5
","
3
",florianopolis,"Rua dos Surubins, Jurerê"
"
200
",mês,0,"
200
","
3
","
2
","
2
",florianopolis,"Avenida Luiz Boiteux Piazza, Ponta das Canas"
"
3300
",mês, 100,"
150
","
2
","
3
","
1
",florianopolis,"Trindade, Florianópolis"
"
2800
",mês, 70,"
133
","
2
","
3
","
2
",florianopolis,"Servidão Manoel João Pires, Campeche"
"
1800
",mês, 40,"
120
","
2
","
2
","
5
",florianopolis,"Servidão Serafim Policiano de Menezes, São João do Rio Vermelho"
"
1400
",dia,0,"
250
","
5
","
5
","
3
",florianopolis,"Servidão Aconchego, Cachoeira do Bom Jesus"
"
3000
",dia,0,"
600
","
5
","
6
","
2
",florianopolis,"Rua das Sapopemas, Jurerê"
"
380
",dia,0,"
100
","
3
","
2
","
2
",florianopolis,"Avenida das Paineiras, Daniela"
"
2700
",mês, 48,"
105
","
2
","
1
","
1
",florianopolis,"Servidão Carminati, Saco dos Limões"
"
1500
",mês, 200,"
120
","
2
","
2
","
1
",florianopolis,"Cachoeira do Bom Jesus, Florianópolis"
"
1400
",dia,0,"
280
","
3
","
2
","
2
",florianopolis,"Rua Francisco Gouveia, Jurerê"
"
1600
",mês, 119,"
117
","
3
","
2
","
1
",florianopolis,"Carianos, Florianópolis"
"
2000
",dia,0,"
300
","
4
","
2
","
1
",florianopolis,"Rua dos Cumurupis, Jurerê Internacional"
"
1500
",dia,0,"
410
","
5
","
3
","
2
",florianopolis,"Rua dos Arenques, Jurerê Internacional"
"
2500
",mês,0,"
130
","
3
","
2
","
3
",florianopolis,"Rua Vereador Frederico Veras, Pantanal"
"
2750
",mês,0,"
130
","
2
","
3
","
1
",florianopolis,"Rua Fidélis Govoni, Campeche"
"
1500
",dia,0,"
300
","
3
","
1
","
2
",florianopolis,"Rua dos Robaletes, Jurerê Internacional"
"
1500
",dia,0,"
380
","
4
","
2
","
2
",florianopolis,"Rua dos Amborés, Jurerê Internacional"
"
4500
",mês, 466,"
600
","
4
","
8
","
8
",florianopolis,"Rua Celso Bayma, Jardim Atlântico"
"
1000
",dia,0,"
280
","
3
","
1
","
3
",florianopolis,"Rua dos Cáctus, Daniela"
"
1800
",dia,0,"
280
","
5
","
2
","
2
",florianopolis,"Avenida dos Dourados, Jurerê Internacional"
"
1100
",dia,0,"
380
","
4
","
1
","
2
",florianopolis,"Rua das Tainhotas, Jurerê"
"
2800
",dia,0,"
360
","
4
","
2
","
1
",florianopolis,"Rua das Tainhas, Jurerê Internacional"
"
700
",dia,0,"
280
","
3
","
3
","
2
",florianopolis,"Rua das Baleias Franca, Jurerê"
"
1950
",dia,0,"
300
","
4
","
1
","
2
",florianopolis,"Rua dos Botos, Jurerê Internacional"
"
1100
",dia,0,"
300
","
5
","
3
","
2
",florianopolis,"Rua das Moreias, Jurerê"
"
1200
",dia,0,"
350
","
3
","
1
","
2
",florianopolis,"Rua dos Corais, Jurerê Internacional"
"
2500
",dia,0,"
350
","
4
","
5
","
3
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
1400
",mês, 45,"
140
","
2
","
2
","
2
",florianopolis,"Rua da Pedra, Tapera"
"
1200
",dia,0,"
380
","
4
","
3
","
2
",florianopolis,"Rua das Tibiras, Jurerê Internacional"
"
2500
",dia,0,"
420
","
5
","
2
","
2
",florianopolis,"Rua dos Badejos, Jurerê Internacional"
"
2500
",dia,0,"
300
","
4
","
4
","
2
",florianopolis,"Rua dos Meros, Jurerê Internacional"
"
1100
",dia,0,"
300
","
4
","
5
","
2
",florianopolis,"Rua dos Botos, Jurerê Internacional"
"
2500
",dia,0,"
300
","
4
","
4
","
2
",florianopolis,"Rua dos Meros, Jurerê Internacional"
"
1500
",dia,0,"
370
","
4
","
1
","
2
",florianopolis,"Rua dos Botos, Jurerê Internacional"
"
3000
",mês,0,"
80
","
2
","
2
","
1
",florianopolis,"Servidão José Paulo Pires, Armação do Pântano do Sul"
"
1900
",mês, 59,"
170
","
2
","
2
","
2
",florianopolis,"Servidão Dejalma Manoel Jorge, Santinho"
"
2800
",dia,0,"
400
","
5
","
1
","
5
",florianopolis,"Rua dos Camuris, Jurerê Internacional"
"
4000
",dia,0,"
500
","
7
","
2
","
4
",florianopolis,"Rua dos Amborés, Jurerê Internacional"
"
4000
",dia,0,"
520
","
7
","
1
","
4
",florianopolis,"Rua das Piracemas, Jurerê Internacional"
"
2400
",mês,0,"
150
","
3
","
2
","
2
",florianopolis,"Centro, Florianópolis"
"
1100
",dia,0,"
280
","
3
","
2
","
4
",florianopolis,"Rua Fernandes Francisco Coutinho, Canasvieiras"
"
1500
",dia,0,"
295
","
4
","
5
","
2
",florianopolis,"Rua dos Aruanãs, Jurerê Internacional"
"
700
",dia,0,"
320
","
3
","
1
","
2
",florianopolis,"Travessa dos Linguados, Jurerê Internacional"
