Valor,TipoAluguel,Condominio,Area,Quartos,Banheiros,Vagas,Uri,Cidade,Endereco
1300,Mês,   422  , 46 , 2 , 2 , 2 ,https://www.vivareal.com.br//imovel/apartamento-2-quartos-coqueiros-bairros-florianopolis-com-garagem-46m2-aluguel-RS1300-id-2492117178/,florianopolis,"Rua Desembargador Pedro Silva, 2202 - Coqueiros, Florianópolis - SC"
3990,Mês,   1221  , 110 , 3 , 3 , 3 ,https://www.vivareal.com.br//imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-110m2-aluguel-RS3990-id-2483650176/,florianopolis,"Avenida Professor Othon Gama D'Eça - Centro, Florianópolis - SC"
10000,Mês,0, 141 ,0,0,0,https://www.vivareal.com.br//imovel/ponto-comercial-itacorubi-bairros-florianopolis-com-garagem-141m2-aluguel-RS10000-id-2475451278/,florianopolis,"Rodovia Admar Gonzaga, 2505 - Itacorubi, Florianópolis - SC"
1960,Mês,   483  , 61 , 2 , 2 , 2 ,https://www.vivareal.com.br//imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-61m2-aluguel-RS1960-id-2491386348/,florianopolis,"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC"
3000,Mês,   2500  , 276 , 3 , 3 , 3 ,https://www.vivareal.com.br//imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-276m2-venda-RS1980000-id-2464045889/,florianopolis,"Rua Bocaiúva - Centro, Florianópolis - SC"
3650,Mês,   800  , 118 , 4 , 4 , 4 ,https://www.vivareal.com.br//imovel/apartamento-4-quartos-florianopolis-com-garagem-118m2-aluguel-RS3650-id-2486210982/,florianopolis,"Rua Salvatina Feliciana dos Santos, 235 - Itacorubi, Florianópolis - SC"
1800,Mês,   275  , 87 , 2 , 2 , 2 ,https://www.vivareal.com.br//imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-87m2-aluguel-RS1800-id-2492161448/,florianopolis,"Avenida Pequeno Príncipe - Campeche, Florianópolis - SC"
3650,Mês,   900  , 118 , 4 , 4 , 4 ,https://www.vivareal.com.br//imovel/apartamento-4-quartos-itacorubi-bairros-florianopolis-com-garagem-118m2-aluguel-RS3650-id-2474605572/,florianopolis,"Rua Salvatina Feliciana dos Santos, 235 - Itacorubi, Florianópolis - SC"
1650,Mês,   426  , 57 , 2 , 2 , 2 ,https://www.vivareal.com.br//imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-57m2-aluguel-RS1650-id-2485296460/,florianopolis,"Rodovia Amaro Antônio Vieira, 2155 - Itacorubi, Florianópolis - SC"
2000,Mês,   550  , 69 , 2 , 2 , 2 ,https://www.vivareal.com.br//imovel/apartamento-2-quartos-florianopolis-com-garagem-69m2-aluguel-RS2000-id-2489523004/,florianopolis,"Rua Deputado Antônio Edu Vieira, 1422 - Pantanal, Florianópolis - SC"
